,name,year,selling_price,km_driven,fuel,owner,seats,max_power (in bph),Mileage(KMPL),Engine (CC)
352,Hyundai,2014,275000,53000,Petrol,First Owner,5,78.9,20.36,1197
353,Volkswagen,2013,330000,100000,Diesel,Third Owner,5,103.6,20.54,1598
354,Maruti,2012,450000,98000,Diesel,Fourth & Above Owner,7,88.8,20.77,1248
355,Hyundai,2014,250000,60000,Petrol,First Owner,5,55.2,21.1,814
356,Hyundai,2010,165000,80000,Petrol,Third Owner,5,78.9,20.36,1197
357,Tata,2017,525000,19723,Petrol,First Owner,5,84.0,20.3,1199
358,Hyundai,2017,675000,25471,Diesel,First Owner,5,90.0,21.9,1396
359,Maruti,2016,400000,74381,Petrol,First Owner,5,67.05,21.79,998
360,Ford,2017,850000,63982,Diesel,First Owner,5,89.84,22.7,1498
361,Hyundai,2012,270000,56000,Petrol,First Owner,5,78.9,20.36,1197
362,Hyundai,2019,434999,19500,Petrol,First Owner,5,68.07,20.3,1086
363,Hyundai,2016,575000,53000,Diesel,First Owner,5,88.73,22.54,1396
364,Hyundai,2017,600000,5000,Petrol,First Owner,5,81.86,20.14,1197
365,Toyota,2013,270000,52380,Diesel,First Owner,5,67.04,23.59,1364
366,Mahindra,2018,660000,74250,Diesel,First Owner,7,74.96,21.0,1498
367,Maruti,2017,490000,57247,Petrol,First Owner,5,81.8,20.89,1197
368,Maruti,2010,125000,120000,Petrol,Third Owner,5,46.3,19.7,796
369,Maruti,2015,335000,30000,Petrol,First Owner,5,67.04,20.51,998
370,Volkswagen,2012,229999,70000,Diesel,Fourth & Above Owner,5,73.9,22.07,1199
371,Hyundai,2017,731000,40000,Diesel,First Owner,5,88.73,22.54,1396
372,Hyundai,2012,395000,120000,Diesel,First Owner,5,126.32,22.32,1582
373,Hyundai,2014,220000,50000,Petrol,Third Owner,5,55.2,21.1,814
374,Ford,2013,240000,100000,Diesel,First Owner,5,68.1,20.0,1399
375,Hyundai,2010,215000,120000,Diesel,Third Owner,5,90.0,23.0,1396
376,Maruti,2012,400000,90000,Diesel,Second Owner,5,74.0,22.9,1248
377,Tata,2015,250000,20000,Petrol,First Owner,4,37.48,21.9,624
378,Hyundai,2019,850000,10000,Diesel,First Owner,5,88.76,22.54,1396
379,Maruti,2012,250000,90000,Petrol,First Owner,5,67.1,20.92,998
380,Hyundai,2016,651000,42323,Diesel,First Owner,5,88.76,21.19,1396
381,Maruti,2018,480000,20375,Petrol,First Owner,5,81.8,20.89,1197
382,Mahindra,2015,445000,40200,Diesel,First Owner,7,74.96,21.0,1498
383,Maruti,2014,560000,90000,Diesel,First Owner,7,88.8,20.77,1248
384,Ford,2013,475000,48000,Diesel,Second Owner,5,98.96,21.7,1498
385,Maruti,2017,520000,28832,Diesel,First Owner,5,74.0,23.4,1248
386,Hyundai,2009,229999,50000,Petrol,Second Owner,5,68.05,19.81,1086
387,Maruti,2011,250000,60000,Diesel,Second Owner,5,73.9,21.1,1248
388,Ford,2010,144000,50000,Diesel,Second Owner,5,68.0,20.0,1399
389,Chevrolet,2014,260000,38000,Diesel,First Owner,5,74.0,22.1,1248
390,Toyota,2015,475000,120000,Diesel,First Owner,5,67.05,23.59,1364
391,Ford,2011,302000,103000,Diesel,Third Owner,5,68.0,20.0,1399
392,Maruti,2015,700000,50000,Diesel,First Owner,7,88.76,20.77,1248
393,Tata,2017,869999,70000,Diesel,First Owner,5,108.5,21.5,1497
394,Hyundai,2018,850000,60000,Diesel,First Owner,5,88.76,22.54,1396
395,Maruti,2006,160000,90000,Petrol,First Owner,5,46.3,19.7,796
396,Hyundai,2015,310000,50000,Petrol,First Owner,5,68.05,19.81,1086
397,Maruti,2015,405000,68000,Petrol,Second Owner,5,81.8,20.4,1197
398,Hyundai,2007,135000,100000,Petrol,Second Owner,5,68.05,19.81,1086
399,Maruti,2018,400000,17500,Petrol,First Owner,5,67.04,20.51,998
400,Maruti,2016,350000,25000,Petrol,First Owner,5,67.04,20.51,998
401,Maruti,2012,185000,60000,Petrol,Second Owner,5,46.3,19.7,796
402,Volkswagen,2013,550000,38000,Diesel,First Owner,5,73.9,22.07,1199
403,Honda,2016,900000,92000,Diesel,First Owner,7,98.6,21.9,1498
404,Maruti,2018,625000,10000,Petrol,First Owner,5,83.1,21.4,1197
405,Hyundai,2012,290000,100000,Diesel,Second Owner,5,90.0,21.9,1396
406,Maruti,2015,280000,28000,Petrol,Second Owner,5,47.3,22.74,796
407,Renault,2017,650000,120000,Diesel,First Owner,5,83.8,19.87,1461
408,Maruti,2014,650000,50000,Diesel,First Owner,5,74.0,23.4,1248
409,Maruti,2015,650000,26000,Petrol,First Owner,5,91.1,20.73,1373
410,Maruti,2019,700000,20000,Petrol,First Owner,5,81.8,22.0,1197
411,Renault,2016,515000,40000,Diesel,First Owner,5,83.8,19.87,1461
412,Maruti,2020,630000,5000,Petrol,First Owner,5,81.8,21.01,1197
413,Maruti,2016,300000,40000,Petrol,First Owner,5,47.3,22.74,796
414,Maruti,2005,90000,100000,Petrol,Fourth & Above Owner,5,46.3,19.7,796
415,Hyundai,2019,550000,4701,Petrol,First Owner,5,81.86,20.7,1197
416,Maruti,2016,600000,6757,Petrol,First Owner,5,81.8,21.01,1197
417,Maruti,2014,200000,43381,Petrol,Second Owner,5,47.3,22.74,796
418,Maruti,2014,425000,50000,Diesel,Second Owner,5,88.73,21.79,1248
419,Maruti,2018,575000,20000,Petrol,First Owner,5,83.1,21.4,1197
420,Ford,2015,600000,63000,Diesel,First Owner,5,98.59,22.77,1498
421,Renault,2018,350000,30000,Petrol,First Owner,5,67.0,23.01,999
422,Maruti,2017,400000,12700,Petrol,First Owner,5,67.04,20.51,998
423,Tata,2018,700000,35000,Diesel,First Owner,5,108.5,21.5,1497
424,Hyundai,2008,165000,90000,Petrol,First Owner,5,68.05,19.81,1086
425,Maruti,2005,180000,49455,Petrol,First Owner,5,46.3,19.7,796
426,Hyundai,2016,220000,100000,Petrol,First Owner,5,55.2,21.1,814
427,Tata,2013,120000,120000,Diesel,First Owner,5,74.0,22.3,1248
428,Chevrolet,2013,420000,46815,Diesel,Second Owner,5,76.9,22.1,1248
429,Hyundai,2015,250000,80000,Petrol,First Owner,5,55.2,21.1,814
430,Maruti,2013,385000,100000,Diesel,Third Owner,7,88.8,20.77,1248
431,Maruti,2014,318000,80000,Petrol,First Owner,5,67.06,20.51,998
432,Hyundai,2018,480000,40000,Petrol,First Owner,5,81.86,20.14,1197
433,Maruti,2015,330000,70000,Petrol,Third Owner,5,67.04,23.1,998
434,Maruti,2014,250000,40000,Petrol,First Owner,5,47.3,22.74,796
435,Hyundai,2016,650000,30000,Diesel,First Owner,5,88.73,22.54,1396
436,Ford,2011,200000,80000,Diesel,Second Owner,5,68.0,20.0,1399
437,Honda,2008,250000,60000,Petrol,Third Owner,5,108.5,20.0,1339
438,Maruti,2018,560000,20000,Petrol,First Owner,5,83.1,21.4,1197
439,Maruti,2016,500000,30000,Petrol,First Owner,5,83.14,20.85,1197
440,Hyundai,2013,420000,69000,Diesel,Third Owner,5,126.32,22.32,1582
441,Maruti,2015,434999,25000,Petrol,Second Owner,5,83.14,20.85,1197
442,Hyundai,2020,675000,5000,Petrol,First Owner,5,81.86,20.7,1197
443,Hyundai,2009,170000,90000,Petrol,Second Owner,5,78.9,20.36,1197
444,Hyundai,2017,1250000,90000,Diesel,First Owner,5,126.2,19.67,1582
445,Maruti,2011,270000,89000,Diesel,Second Owner,5,73.9,21.1,1248
446,Maruti,2013,480000,80000,Diesel,First Owner,5,74.0,23.4,1248
447,Hyundai,2016,700000,40000,Diesel,First Owner,5,88.73,22.54,1396
448,Maruti,2015,650000,110000,Diesel,Third Owner,7,88.76,20.77,1248
449,Hyundai,2015,1300000,48000,Diesel,Second Owner,5,126.2,19.67,1582
450,Volkswagen,2016,1000000,60000,Diesel,First Owner,5,108.6,22.15,1498
451,Hyundai,2012,170000,40000,Petrol,First Owner,5,55.2,21.1,814
452,Maruti,2016,260000,65000,Petrol,Second Owner,5,47.3,22.74,796
453,Toyota,2014,400000,120000,Diesel,Second Owner,5,67.04,23.59,1364
454,Tata,2017,830000,35000,Diesel,First Owner,5,108.5,21.5,1497
455,Ford,2017,850000,60000,Diesel,First Owner,5,98.59,22.77,1498
456,Maruti,2017,650000,70000,Petrol,First Owner,5,83.14,20.85,1197
457,Maruti,2019,525000,20000,Petrol,First Owner,5,81.8,20.89,1197
458,Hyundai,2015,600000,108000,Diesel,First Owner,5,88.73,21.19,1396
459,Maruti,2019,500000,15000,Petrol,First Owner,5,81.8,21.21,1197
460,Maruti,2015,409999,18500,Petrol,First Owner,5,67.04,20.51,998
461,Hyundai,2011,475000,80000,Diesel,First Owner,5,126.32,22.32,1582
462,Hyundai,2013,190000,70000,Petrol,First Owner,5,55.2,21.1,814
463,Ford,2011,225000,70000,Diesel,First Owner,5,68.0,20.0,1399
464,Hyundai,2011,350000,90000,Diesel,Third Owner,5,90.0,23.0,1396
465,Maruti,2014,240000,50000,Petrol,First Owner,5,47.3,22.74,796
466,Maruti,2012,80000,120000,Petrol,Second Owner,8,35.0,19.7,796
467,Tata,2019,650000,15000,Diesel,First Owner,5,74.0,22.95,1248
468,Maruti,2011,210000,35000,Petrol,Second Owner,5,67.1,20.92,998
469,Maruti,2008,110000,80000,Petrol,Second Owner,5,46.3,19.7,796
470,Tata,2017,665000,25000,Diesel,First Owner,5,108.5,21.5,1497
471,Volkswagen,2017,555000,52000,Diesel,First Owner,5,108.62,21.66,1498
472,Volkswagen,2017,560000,52000,Diesel,First Owner,5,108.62,21.66,1498
473,Hyundai,2011,350000,116500,Diesel,First Owner,5,90.0,23.0,1396
474,Hyundai,2019,525000,100000,Petrol,First Owner,5,81.86,20.14,1197
475,Toyota,2016,570000,145000,Diesel,Second Owner,5,67.05,23.59,1364
476,Ford,2011,225000,90000,Diesel,Second Owner,5,68.0,20.0,1399
477,Hyundai,2019,590000,90000,Petrol,First Owner,5,81.86,20.14,1197
478,Maruti,2013,520000,58000,Diesel,First Owner,5,74.0,23.4,1248
479,Hyundai,2013,200000,40000,Petrol,First Owner,5,55.2,21.1,814
480,Maruti,2014,325000,90000,Diesel,Second Owner,5,73.94,23.2,1248
481,Maruti,2015,350000,50000,Petrol,Second Owner,5,67.04,20.51,998
482,Hyundai,2011,440000,80000,Diesel,Third Owner,5,126.3,22.32,1582
483,Hyundai,2011,320000,70000,Diesel,Second Owner,5,90.0,21.9,1396
484,Ford,2014,350000,113226,Diesel,First Owner,5,67.0,19.68,1399
485,Ford,2013,310000,90000,Diesel,Second Owner,5,68.1,20.0,1399
486,Renault,2014,560000,132000,Diesel,Second Owner,5,108.45,19.72,1461
487,Maruti,2013,470000,120000,Diesel,Third Owner,5,74.0,22.9,1248
488,Maruti,2018,550000,5000,Petrol,First Owner,5,81.8,22.0,1197
489,Hyundai,2015,899000,80000,Diesel,Second Owner,5,126.2,19.67,1582
490,Maruti,2017,500000,43000,Petrol,First Owner,5,83.14,20.85,1197
491,Maruti,2015,220000,40000,Petrol,Second Owner,5,47.3,22.74,796
492,Maruti,2011,170000,70000,Petrol,Third Owner,5,46.3,19.7,796
493,Maruti,2016,465000,20000,Petrol,First Owner,5,67.04,20.51,998
494,Maruti,2012,260000,16830,Petrol,First Owner,5,67.1,20.2,998
495,Renault,2017,325000,38000,Petrol,First Owner,5,67.0,23.01,999
496,Hyundai,2016,340000,30000,Petrol,First Owner,5,55.2,21.1,814
497,Tata,2012,259000,35000,Diesel,First Owner,5,69.0,23.03,1396
498,Tata,2010,210000,120000,Diesel,First Owner,5,88.8,21.12,1248
499,Tata,2012,220000,90000,Diesel,First Owner,5,69.0,23.03,1396
500,Tata,2012,246000,35000,Diesel,Second Owner,5,69.0,23.03,1396
501,Hyundai,2018,1050000,70000,Diesel,First Owner,5,88.7,21.38,1396
502,Maruti,2016,550000,20000,Petrol,First Owner,5,81.8,20.4,1197
503,Maruti,2018,430000,16589,Petrol,First Owner,5,67.04,20.51,998
504,Maruti,2017,570000,25272,Petrol,First Owner,5,81.8,21.01,1197
505,Renault,2018,1250000,12000,Diesel,First Owner,5,108.45,19.6,1461
506,Hyundai,2017,750000,40000,Diesel,Second Owner,5,88.73,22.54,1396
507,Maruti,2004,118000,60000,Petrol,Second Owner,5,46.3,19.7,796
508,Renault,2013,585000,80000,Diesel,Second Owner,5,83.8,20.46,1461
509,Maruti,2006,120000,120000,Petrol,Fourth & Above Owner,5,46.3,19.7,796
510,Maruti,2006,150000,100000,Petrol,Second Owner,5,46.3,19.7,796
511,Maruti,2009,150000,70000,Petrol,Fourth & Above Owner,5,46.3,19.7,796
512,Maruti,2013,599000,60000,Diesel,Second Owner,7,88.76,20.77,1248
513,Maruti,2016,570000,90000,Petrol,First Owner,5,81.8,20.4,1197
514,Volkswagen,2013,440000,75000,Diesel,Second Owner,5,73.9,22.07,1199
515,Renault,2018,409999,35000,Petrol,First Owner,5,67.0,23.01,999
516,Tata,2011,200000,84321,Diesel,First Owner,5,70.0,23.57,1396
517,Hyundai,2008,215000,70000,Petrol,Second Owner,5,78.9,20.36,1197
518,Maruti,2015,515000,45000,Petrol,Second Owner,5,83.14,20.85,1197
519,Hyundai,2017,300000,60000,Petrol,First Owner,5,68.05,20.3,998
520,Ford,2012,250000,40000,Diesel,First Owner,5,68.0,20.0,1399
521,Hyundai,2011,210000,110000,Petrol,Second Owner,5,68.05,19.81,1086
522,Maruti,2007,130000,88700,Petrol,Third Owner,5,46.3,19.7,796
523,Maruti,2016,310000,15000,Petrol,First Owner,5,47.3,22.74,796
524,Mahindra,2012,200000,80000,Diesel,Second Owner,5,65.0,20.8,1461
525,Hyundai,2018,444000,15000,Petrol,First Owner,5,55.2,21.1,814
526,Mahindra,2011,225000,57000,Diesel,Second Owner,5,64.1,21.0,1461
527,Maruti,2010,150000,120000,Petrol,Second Owner,5,46.3,19.7,796
528,Maruti,2014,110000,50000,Petrol,Second Owner,5,46.3,19.7,796
529,Maruti,2012,225000,40000,Petrol,First Owner,5,46.3,19.7,796
530,Maruti,2014,650000,90000,Diesel,First Owner,7,88.8,20.77,1248
531,Ford,2011,220000,100000,Diesel,First Owner,5,68.0,20.0,1399
532,Volkswagen,2017,625000,34000,Diesel,First Owner,5,108.495,22.0,1498
533,Maruti,2018,475000,30000,Petrol,First Owner,5,67.04,21.63,998
534,Hyundai,2018,540000,7000,Petrol,First Owner,5,68.0,20.3,1086
535,Maruti,2019,484999,4875,Petrol,First Owner,5,67.04,21.63,998
536,Tata,2017,919999,26766,Diesel,First Owner,5,108.5,21.5,1497
537,Maruti,2017,600000,24522,Petrol,First Owner,5,81.8,20.4,1197
538,Renault,2018,330000,30000,Petrol,First Owner,5,67.0,23.01,999
539,Ford,2012,300000,90000,Diesel,First Owner,5,68.0,20.0,1399
540,Maruti,2013,625000,160000,Diesel,Third Owner,7,88.76,20.77,1248
541,Toyota,2017,1594000,5000,Diesel,First Owner,5,86.79,21.43,1364
542,Ford,2018,950000,27620,Diesel,First Owner,5,98.59,22.77,1498
543,Maruti,2017,550000,40000,Petrol,First Owner,5,81.8,20.89,1197
544,Hyundai,2009,150000,110000,Petrol,Second Owner,5,78.9,20.36,1197
545,Hyundai,2016,511000,80000,Diesel,First Owner,5,88.73,22.54,1396
546,Maruti,2020,420000,25000,Petrol,First Owner,5,67.04,21.63,998
547,Maruti,2014,180000,55000,Petrol,First Owner,5,47.3,22.74,796
548,Maruti,2013,525000,100000,Diesel,First Owner,5,74.0,23.4,1248
549,Maruti,2013,550000,100000,Diesel,First Owner,5,74.0,23.4,1248
550,Hyundai,2012,400000,138000,Diesel,First Owner,5,126.32,22.32,1582
551,Maruti,2016,245000,50000,Petrol,First Owner,5,47.3,22.74,796
552,Tata,2013,260000,189000,Diesel,First Owner,5,88.76,21.02,1248
553,Volkswagen,2014,411000,90000,Diesel,Second Owner,5,103.2,21.21,1498
554,Hyundai,2014,450000,56000,Diesel,First Owner,5,88.76,21.9,1396
555,Maruti,2016,351000,60000,Petrol,First Owner,5,67.04,23.1,998
556,Maruti,2013,200000,90000,Petrol,First Owner,5,47.3,22.74,796
557,Hyundai,2017,350000,20000,Petrol,Second Owner,5,55.2,21.1,814
558,Maruti,2019,500000,15000,Petrol,First Owner,5,81.8,20.89,1197
559,Maruti,2012,254999,30000,Petrol,First Owner,5,47.3,22.74,796
560,Maruti,2011,180000,60000,Petrol,First Owner,5,46.3,19.7,796
561,Maruti,2015,270000,49900,Petrol,Second Owner,5,47.3,22.74,796
562,Tata,2012,310000,86000,Diesel,First Owner,5,88.8,21.12,1248
563,Hyundai,2011,180000,35000,Petrol,First Owner,5,55.2,21.1,814
564,Maruti,2015,550000,50000,Petrol,First Owner,5,83.14,20.85,1197
565,Hyundai,2015,900000,145000,Diesel,First Owner,5,126.2,22.7,1582
566,Maruti,2016,475000,110000,Diesel,First Owner,5,73.94,23.2,1248
567,Maruti,2016,390000,80000,Petrol,First Owner,5,67.04,20.51,998
568,Maruti,2010,170000,75000,Petrol,Second Owner,5,46.3,19.7,796
569,Hyundai,2012,195000,80000,Petrol,Second Owner,5,55.2,21.1,814
570,Renault,2015,484999,75000,Diesel,First Owner,5,83.8,19.87,1461
571,Maruti,2018,650000,22000,Petrol,Second Owner,5,103.25,21.56,1462
572,Volkswagen,2013,350000,80000,Diesel,First Owner,5,73.9,22.07,1199
573,Ford,2016,650000,50000,Diesel,First Owner,5,98.59,22.77,1498
574,Hyundai,2015,822000,60000,Diesel,First Owner,5,126.2,19.67,1582
575,Maruti,2012,330000,50000,Diesel,Second Owner,5,74.0,22.9,1248
576,Maruti,2014,300000,74537,Petrol,Second Owner,5,67.04,20.51,998
577,Maruti,2019,500000,11000,Petrol,First Owner,5,67.0,21.63,998
578,Tata,2016,360000,110000,Diesel,First Owner,5,88.7,23.0,1248
579,Maruti,2012,252000,48000,Petrol,First Owner,5,67.1,20.92,998
580,Maruti,2012,280000,70000,Diesel,Second Owner,5,74.0,22.9,1248
581,Maruti,2018,509999,70000,Petrol,Second Owner,5,81.8,22.0,1197
582,Maruti,2011,235000,100000,Diesel,Second Owner,5,74.0,22.9,1248
583,Hyundai,2010,131000,80000,Petrol,Third Owner,5,68.05,19.81,1086
584,Maruti,2013,200000,50000,Petrol,First Owner,5,47.3,22.74,796
585,Maruti,2012,380000,70000,Diesel,Third Owner,5,74.0,22.9,1248
586,Maruti,2008,128000,19000,Petrol,First Owner,5,46.3,19.7,796
587,Maruti,2016,400000,25000,Petrol,First Owner,5,67.04,23.1,998
588,Maruti,2012,200000,29500,Petrol,First Owner,5,67.1,20.92,998
589,Maruti,2016,300000,50000,Petrol,Second Owner,5,47.3,22.74,796
590,Maruti,2012,220000,100000,Petrol,First Owner,5,47.3,22.74,796
591,Hyundai,2016,595000,60000,Diesel,Second Owner,5,88.73,22.54,1396
592,Maruti,2017,530000,30000,Petrol,Second Owner,5,83.1,21.4,1197
593,Hyundai,2018,325000,10000,Petrol,First Owner,5,55.2,21.1,814
594,Maruti,2018,550000,10000,Petrol,First Owner,5,83.1,21.4,1197
595,Maruti,2018,720000,25000,Petrol,First Owner,5,91.1,20.73,1373
596,Maruti,2013,350000,60000,Diesel,First Owner,5,74.0,22.9,1248
597,Tata,2018,790000,60000,Diesel,First Owner,5,108.5,21.5,1497
598,Mahindra,2019,950000,17000,Diesel,First Owner,5,115.0,20.0,1497
599,Maruti,2017,400000,50000,Petrol,First Owner,5,67.04,20.51,998
600,Mahindra,2012,260000,110000,Diesel,First Owner,5,65.0,21.03,1461
601,Tata,2012,200000,90000,Diesel,First Owner,5,70.0,23.57,1396
602,Maruti,2020,580000,70000,Petrol,First Owner,5,88.5,23.26,1197
603,Volkswagen,2011,330000,66000,Diesel,Second Owner,5,105.0,20.5,1598
604,Mahindra,2014,250000,50000,Diesel,Second Owner,5,65.0,21.03,1461
605,Maruti,2013,300000,70000,Diesel,First Owner,5,74.0,23.4,1248
606,Maruti,2015,280000,80000,Petrol,First Owner,5,47.3,22.74,796
607,Maruti,2018,550000,24400,Petrol,First Owner,5,81.8,22.0,1197
608,Maruti,2011,130000,100000,Petrol,Second Owner,5,46.3,19.7,796
609,Ford,2013,229999,70000,Diesel,First Owner,5,68.1,20.0,1399
610,Maruti,2016,225000,35000,Petrol,Second Owner,5,47.3,22.74,796
611,Maruti,2017,420000,30000,Petrol,First Owner,5,67.04,20.51,998
612,Maruti,2010,130000,120000,Petrol,Third Owner,8,35.0,19.7,796
613,Maruti,2006,120000,30000,Petrol,Second Owner,5,46.3,19.7,796
614,Maruti,2019,577000,3000,Petrol,First Owner,5,81.8,20.89,1197
615,Maruti,2012,229999,50000,Petrol,First Owner,5,67.1,20.92,998
616,Volkswagen,2017,900000,74000,Diesel,First Owner,5,108.6,22.27,1498
617,Hyundai,2016,250000,110000,Petrol,First Owner,5,55.2,21.1,814
618,Volkswagen,2016,550000,70000,Diesel,First Owner,5,88.0,20.14,1498
619,Maruti,2019,490000,10000,Petrol,First Owner,5,81.8,20.52,1197
620,Hyundai,2009,150000,80000,Petrol,Second Owner,5,78.9,20.36,1197
621,Maruti,2013,600000,184000,Diesel,First Owner,7,88.76,20.77,1248
622,Maruti,2013,525000,69000,Diesel,Second Owner,5,74.0,22.9,1248
623,Hyundai,2017,300000,8000,Petrol,First Owner,5,55.2,21.1,814
624,Maruti,2020,250000,120000,Petrol,Second Owner,5,67.0,21.63,998
625,Maruti,2016,350000,70000,Petrol,First Owner,5,67.04,20.51,998
626,Maruti,2007,135000,57000,Petrol,First Owner,5,46.3,19.7,796
627,Hyundai,2018,946000,60000,Diesel,First Owner,5,88.7,22.1,1396
628,Tata,2011,215000,70000,Diesel,First Owner,5,69.0,23.03,1396
629,Hyundai,2008,220000,35000,Petrol,First Owner,5,78.9,20.36,1197
630,Maruti,2011,195000,46000,Petrol,Second Owner,5,46.3,19.7,796
631,Maruti,2010,125000,80000,Petrol,Fourth & Above Owner,5,46.3,19.7,796
632,Maruti,2015,275000,16700,Petrol,First Owner,5,47.3,22.74,796
633,Maruti,2015,600000,7967,Petrol,First Owner,5,83.14,20.85,1197
634,Maruti,2018,720000,20000,Petrol,First Owner,5,81.8,22.0,1197
635,Hyundai,2011,225000,50000,Petrol,First Owner,5,68.05,19.81,1086
636,Hyundai,2013,550000,50000,Diesel,First Owner,5,88.7,23.5,1396
637,Maruti,2019,610000,5000,Petrol,First Owner,5,81.8,21.21,1197
638,Ford,2016,515000,68609,Diesel,First Owner,5,89.84,22.7,1498
639,Ford,2018,925000,33360,Diesel,First Owner,5,98.59,22.77,1498
640,Ford,2012,225000,87237,Diesel,Second Owner,5,68.05,20.0,1399
641,Maruti,2017,600000,26634,Petrol,First Owner,5,81.8,21.21,1197
642,Renault,2015,600000,67303,Diesel,First Owner,5,83.8,20.45,1461
643,Maruti,2012,265000,130376,Diesel,Second Owner,5,73.94,23.2,1248
644,Maruti,2013,525000,110000,Diesel,First Owner,5,74.0,23.4,1248
645,Tata,2017,550000,30000,Petrol,First Owner,5,84.0,20.3,1199
646,Hyundai,2010,200000,70000,Petrol,Second Owner,5,68.05,19.81,1086
647,Hyundai,2014,200000,60000,Petrol,Second Owner,5,55.2,21.1,814
648,Hyundai,2010,210000,94000,Petrol,Second Owner,5,78.9,20.36,1197
649,Tata,2019,660000,35000,Diesel,First Owner,5,74.0,22.95,1248
650,Hyundai,2012,450000,60000,Diesel,Third Owner,5,126.32,22.32,1582
651,Hyundai,2015,978999,90000,Diesel,First Owner,5,126.2,19.67,1582
652,Ford,2012,280000,60000,Diesel,Second Owner,5,88.7,23.5,1498
653,Maruti,2013,170000,60000,Petrol,Fourth & Above Owner,5,47.3,22.74,796
654,Maruti,2019,630000,4000,Petrol,First Owner,5,81.8,21.21,1197
655,Hyundai,2011,250000,50000,Petrol,First Owner,5,78.9,20.36,1197
656,Hyundai,2009,180000,70000,Petrol,Second Owner,5,78.9,20.36,1197
657,Hyundai,2014,348000,23000,Petrol,Second Owner,5,78.9,20.36,1197
658,Maruti,2014,196000,60000,Petrol,Second Owner,5,47.3,22.74,796
659,Maruti,2015,600000,90000,Diesel,Third Owner,7,88.76,20.77,1248
660,Maruti,2007,120000,53512,Petrol,Second Owner,5,46.3,19.7,796
661,Renault,2017,265000,90000,Petrol,First Owner,5,67.0,23.01,999
662,Maruti,2007,130000,78000,Petrol,First Owner,5,46.3,19.7,796
663,Hyundai,2010,180000,70000,Petrol,Second Owner,5,78.9,20.36,1197
664,Maruti,2010,160000,48000,Petrol,Second Owner,5,46.3,19.7,796
665,Renault,2014,480000,80000,Diesel,First Owner,5,83.8,20.45,1461
666,Maruti,2013,320000,100000,Diesel,Third Owner,5,74.0,22.9,1248
667,Maruti,2013,370000,96000,Diesel,Second Owner,5,74.0,22.9,1248
668,Maruti,2016,400000,60000,Diesel,Third Owner,5,73.94,23.2,1248
669,Maruti,2014,325000,48000,Petrol,First Owner,5,67.04,23.1,998
670,Maruti,2012,200000,70000,Petrol,Second Owner,5,67.1,20.92,998
671,Maruti,2008,100000,70000,Petrol,Third Owner,5,46.3,19.7,796
672,Maruti,2006,85000,150000,Petrol,Second Owner,5,46.3,19.7,796
673,Hyundai,2014,580000,56000,Diesel,First Owner,5,126.3,22.32,1582
674,Ford,2010,200000,120000,Diesel,First Owner,5,68.0,20.0,1399
675,Maruti,2012,520000,73000,Diesel,First Owner,7,88.76,20.77,1248
676,Renault,2018,380000,5000,Petrol,First Owner,5,67.0,23.01,999
677,Renault,2013,490000,95000,Diesel,First Owner,5,83.8,20.46,1461
678,Hyundai,2015,229999,34000,Petrol,Second Owner,5,55.2,21.1,814
679,Maruti,2019,362000,120000,CNG,Second Owner,5,61.7,21.94,1196
680,Toyota,2014,550000,31000,Diesel,First Owner,5,67.06,23.59,1364
681,Hyundai,2019,499000,5000,Petrol,First Owner,5,68.0,20.3,1086
682,Toyota,2012,278000,120000,Diesel,Second Owner,5,67.1,23.59,1364
683,Renault,2013,580000,67000,Diesel,Second Owner,5,108.5,20.4,1461
684,Hyundai,2018,490000,7000,Petrol,First Owner,5,68.0,20.3,1086
685,Maruti,2012,320000,120000,Diesel,Second Owner,5,74.0,22.9,1248
686,Maruti,2013,320000,120000,Diesel,First Owner,5,73.94,23.2,1248
687,Toyota,2012,600000,85000,Diesel,First Owner,5,87.2,21.43,1364
688,Maruti,2012,275000,50000,Petrol,First Owner,5,67.1,20.92,998
689,Maruti,2009,170000,59000,Petrol,Second Owner,5,46.3,19.7,796
690,Renault,2015,620000,140000,Diesel,Second Owner,5,83.8,20.45,1461
691,Toyota,2015,550000,40000,Diesel,First Owner,5,67.04,23.59,1364
692,Hyundai,2011,400000,100000,Diesel,Second Owner,5,126.32,22.32,1582
693,Tata,2012,300000,110000,Diesel,Second Owner,5,88.8,21.12,1248
694,Maruti,2011,190000,92500,Petrol,Second Owner,5,67.1,20.92,998
695,Maruti,2018,650000,35000,Petrol,First Owner,5,81.8,22.0,1197
696,Hyundai,2015,869999,120000,Diesel,First Owner,5,126.2,22.7,1582
697,Chevrolet,2013,200000,70000,Diesel,First Owner,5,76.9,22.1,1248
698,Volkswagen,2018,650000,53000,Diesel,First Owner,5,88.0,20.14,1498
699,Hyundai,2018,330000,70000,Petrol,First Owner,5,68.05,20.3,998
700,Hyundai,2019,399000,4000,Petrol,First Owner,5,68.0,20.3,1086
701,Hyundai,2012,250000,103000,Petrol,First Owner,5,78.9,20.36,1197
702,Maruti,2013,375000,77000,Diesel,First Owner,5,74.0,22.9,1248
703,Volkswagen,2012,375000,90000,Diesel,First Owner,5,103.6,20.54,1598
704,Hyundai,2013,445000,87185,Diesel,Second Owner,5,126.3,22.32,1582
705,Hyundai,2016,611000,77000,Diesel,First Owner,5,88.73,22.54,1396
